Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
151,0.14722,6.79,13,0.64,0.47
152,0.14753,6.78,12,0.69,0.5
153,0.14976,6.68,12,0.69,0.5
154,0.14843,6.74,13,0.73,0.5
155,0.14515,6.89,13,0.76,0.49
156,0.14569,6.86,11,0.7,0.52
157,0.15452,6.47,11,0.71,0.52
158,0.14628,6.84,10,0.67,0.53
159,0.14858,6.73,12,0.68,0.49
160,0.14511,6.89,12,0.67,0.48
161,0.14679,6.81,11,0.64,0.52
162,0.14828,6.74,11,0.7,0.53
163,0.149,6.71,10,0.71,0.54
164,0.15076,6.63,12,0.69,0.5
165,0.14756,6.78,9,0.7,0.53
166,0.1492,6.7,12,0.67,0.45
167,0.14728,6.79,12,0.64,0.46
168,0.14696,6.8,10,0.63,0.49
169,0.14501,6.9,12,0.68,0.47
170,0.14551,6.87,12,0.7,0.49
171,0.14501,6.9,10,0.69,0.51
172,0.14571,6.86,7,0.71,0.59
173,0.14474,6.91,7,0.68,0.55
174,0.15854,6.31,10,0.68,0.5
175,0.15125,6.61,9,0.68,0.53
176,0.15378,6.5,8,0.73,0.55
177,0.15341,6.52,9,0.7,0.52
178,0.15009,6.66,9,0.66,0.53
179,0.14841,6.74,11,0.67,0.49
180,0.14591,6.85,9,0.6,0.52
181,0.15066,6.64,9,0.68,0.52
182,0.1462,6.84,9,0.7,0.53
183,0.14574,6.86,10,0.67,0.51
184,0.15238,6.56,8,0.7,0.56
185,0.14548,6.87,8,0.66,0.54
186,0.14499,6.9,9,0.67,0.52
187,0.14627,6.84,9,0.65,0.5
188,0.14882,6.72,9,0.69,0.53
189,0.15962,6.27,9,0.65,0.52
190,0.14734,6.79,9,0.68,0.53
191,0.14552,6.87,8,0.66,0.55
192,0.14672,6.82,8,0.72,0.55
193,0.14678,6.81,8,0.73,0.56
194,0.14685,6.81,8,0.72,0.57
195,0.1458,6.86,8,0.68,0.55
196,0.14567,6.86,9,0.67,0.49
197,0.1473,6.79,7,0.67,0.55
198,0.15208,6.58,8,0.66,0.53
199,0.14815,6.75,9,0.61,0.51
200,0.14555,6.87,8,0.66,0.54
201,0.14717,6.79,8,0.65,0.55
202,0.14578,6.86,9,0.68,0.55
203,0.14655,6.82,9,0.65,0.53
204,0.14602,6.85,9,0.66,0.5
205,0.147,6.8,8,0.65,0.52
206,0.14594,6.85,9,0.66,0.49
207,0.1454,6.88,8,0.67,0.51
208,0.14496,6.9,9,0.68,0.51
209,0.15625,6.4,10,0.67,0.49
210,0.14776,6.77,12,0.65,0.43
211,0.14847,6.74,9,0.65,0.51
212,0.14679,6.81,9,0.67,0.49
213,0.14622,6.84,9,0.64,0.47
214,0.15011,6.66,8,0.66,0.51
215,0.14633,6.83,8,0.65,0.52
216,0.14679,6.81,8,0.68,0.52
217,0.14481,6.91,8,0.68,0.51
218,0.14738,6.79,9,0.59,0.5
219,0.15152,6.6,9,0.64,0.49
220,0.14648,6.83,8,0.63,0.49
221,0.14652,6.82,7,0.63,0.5
222,0.14939,6.69,7,0.62,0.53
223,0.1454,6.88,7,0.64,0.55
224,0.14639,6.83,8,0.63,0.51
225,0.14672,6.82,8,0.61,0.5
226,0.14812,6.75,7,0.64,0.53
227,0.14973,6.68,9,0.59,0.46
228,0.14528,6.88,8,0.61,0.48
229,0.14784,6.76,8,0.56,0.47
230,0.15208,6.58,9,0.65,0.49
231,0.14431,6.93,7,0.63,0.51
232,0.14459,6.92,7,0.62,0.52
233,0.14558,6.87,7,0.62,0.52
234,0.14519,6.89,7,0.58,0.49
235,0.14536,6.88,7,0.58,0.47
236,0.14599,6.85,5,0.53,0.47
237,0.1462,6.84,6,0.58,0.48
238,0.14872,6.72,9,0.57,0.44
239,0.14519,6.89,7,0.61,0.44
240,0.14887,6.72,8,0.62,0.45
241,0.14798,6.76,7,0.57,0.49
242,0.14819,6.75,7,0.55,0.48
243,0.14706,6.8,8,0.56,0.42
244,0.15262,6.55,7,0.52,0.39
245,0.15034,6.65,6,0.41,0.36
246,0.14537,6.88,6,0.49,0.4
247,0.14781,6.77,7,0.57,0.41
248,0.15844,6.31,7,0.58,0.46
249,0.14921,6.7,7,0.45,0.4
250,0.14804,6.76,8,0.6,0.42
251,0.14546,6.87,3,0.51,0.47
252,0.15354,6.51,2,0.46,0.43
253,0.1492,6.7,4,0.5,0.41
254,0.15003,6.67,5,0.58,0.44
255,0.15269,6.55,5,0.65,0.47
256,0.15607,6.41,5,0.6,0.5
257,0.14818,6.75,5,0.58,0.46
258,0.14495,6.9,5,0.55,0.47
259,0.14867,6.73,4,0.55,0.49
260,0.14634,6.83,4,0.52,0.42
261,0.14681,6.81,4,0.51,0.41
262,0.14596,6.85,4,0.59,0.48
263,0.15328,6.52,4,0.58,0.46
264,0.1459,6.85,4,0.55,0.48
265,0.156,6.41,5,0.55,0.43
266,0.14582,6.86,4,0.46,0.43
267,0.14862,6.73,6,0.53,0.41
268,0.1508,6.63,5,0.52,0.44
269,0.14767,6.77,6,0.5,0.4
270,0.14651,6.83,6,0.63,0.46
271,0.15248,6.56,4,0.58,0.55
272,0.14763,6.77,4,0.5,0.48
273,0.14973,6.68,5,0.55,0.43
274,0.14717,6.79,6,0.58,0.46
275,0.14834,6.74,6,0.42,0.38
276,0.1483,6.74,4,0.45,0.4
277,0.14665,6.82,5,0.57,0.48
278,0.15721,6.36,5,0.57,0.47
279,0.1551,6.45,5,0.58,0.48
280,0.14646,6.83,5,0.54,0.46
281,0.14825,6.75,7,0.58,0.44
282,0.14613,6.84,7,0.5,0.41
283,0.14779,6.77,5,0.44,0.37
284,0.1531,6.53,7,0.44,0.36
285,0.16312,6.13,7,0.55,0.42
286,0.15286,6.54,7,0.54,0.43
287,0.15144,6.6,8,0.54,0.4
288,0.15386,6.5,3,0.49,0.48
289,0.15031,6.65,5,0.49,0.42
290,0.14937,6.69,6,0.44,0.4
291,0.16117,6.2,7,0.37,0.33
292,0.1476,6.78,4,0.46,0.37
293,0.15725,6.36,5,0.56,0.43
294,0.14857,6.73,5,0.4,0.38
295,0.1498,6.68,5,0.54,0.43
296,0.15319,6.53,4,0.49,0.39
297,0.1614,6.2,3,0.37,0.33
298,0.15198,6.58,0,0.0,0.0
299,0.15976,6.26,5,0.47,0.39
300,0.14966,6.68,7,0.49,0.36
301,0.15029,6.65,5,0.42,0.37
302,0.14546,6.87,6,0.48,0.41
303,0.14648,6.83,5,0.48,0.39
304,0.14568,6.86,8,0.51,0.37
305,0.14513,6.89,2,0.39,0.39
306,0.15807,6.33,3,0.48,0.44
307,0.1524,6.56,7,0.48,0.4
308,0.14724,6.79,5,0.43,0.38
309,0.16237,6.16,7,0.42,0.37
310,0.15599,6.41,7,0.51,0.43
311,0.14585,6.86,4,0.45,0.37
312,0.14618,6.84,6,0.56,0.41
313,0.14505,6.89,7,0.52,0.4
314,0.15566,6.42,4,0.57,0.47
315,0.14722,6.79,6,0.5,0.42
316,0.15822,6.32,6,0.47,0.42
317,0.14685,6.81,6,0.46,0.4
318,0.15742,6.35,4,0.46,0.39
319,0.14637,6.83,6,0.53,0.41
320,0.14514,6.89,5,0.55,0.42
321,0.14381,6.95,5,0.52,0.46
322,0.14692,6.81,5,0.54,0.46
323,0.1466,6.82,4,0.47,0.45
324,0.15061,6.64,3,0.44,0.42
325,0.14803,6.76,3,0.43,0.38
326,0.14947,6.69,3,0.47,0.41
327,0.15263,6.55,4,0.49,0.38
