Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
151,0.01204,83.04,40,0.98,0.68
152,0.00894,111.85,31,0.92,0.61
153,0.01196,83.6,38,0.94,0.65
154,0.0085,117.68,25,0.97,0.7
155,0.01053,94.93,30,0.98,0.7
156,0.00881,113.5,28,0.94,0.67
157,0.00945,105.8,37,0.96,0.62
158,0.00902,110.91,35,0.98,0.72
159,0.00948,105.52,35,0.99,0.72
160,0.00952,105.03,34,0.99,0.67
161,0.00995,100.46,36,0.96,0.68
162,0.00917,109.09,33,0.98,0.69
163,0.0089,112.41,37,0.98,0.69
164,0.00843,118.61,36,0.99,0.7
165,0.01009,99.08,35,0.98,0.71
166,0.00914,109.35,39,0.97,0.69
167,0.00909,109.99,39,0.98,0.7
168,0.00879,113.75,41,0.98,0.68
169,0.01105,90.53,37,0.98,0.69
170,0.01093,91.45,36,0.99,0.71
171,0.01015,98.49,40,0.97,0.67
172,0.00835,119.73,40,0.96,0.66
173,0.00955,104.66,34,0.97,0.65
174,0.00892,112.13,38,0.97,0.67
175,0.00959,104.3,35,0.98,0.64
176,0.01001,99.89,32,0.96,0.62
177,0.01002,99.77,28,0.94,0.55
178,0.00939,106.46,37,0.96,0.66
179,0.01074,93.13,36,0.99,0.71
180,0.00826,121.09,43,0.99,0.67
181,0.00991,100.91,44,0.99,0.67
182,0.009,111.1,39,0.99,0.69
183,0.00936,106.84,38,0.99,0.67
184,0.00935,107.0,34,0.99,0.65
185,0.00853,117.27,32,0.99,0.65
186,0.00909,110.06,42,0.99,0.62
187,0.00948,105.44,33,0.97,0.63
188,0.0085,117.71,38,0.97,0.64
189,0.01023,97.79,40,0.99,0.68
190,0.0116,86.21,39,0.99,0.68
191,0.01134,88.15,34,0.99,0.68
192,0.00891,112.2,24,0.99,0.66
193,0.0093,107.5,29,0.97,0.66
194,0.00923,108.4,33,0.98,0.7
195,0.0084,119.03,27,0.97,0.67
196,0.00839,119.14,38,0.94,0.66
197,0.01584,63.14,42,0.99,0.66
198,0.01177,84.96,49,0.99,0.7
199,0.00885,112.96,43,0.98,0.64
200,0.00891,112.25,39,0.98,0.66
201,0.00877,114.03,39,0.98,0.66
202,0.01016,98.47,39,0.96,0.67
203,0.00901,111.04,42,0.97,0.66
204,0.00852,117.36,37,0.97,0.66
205,0.00998,100.25,30,0.95,0.64
206,0.00987,101.33,36,0.98,0.71
207,0.00907,110.3,40,0.97,0.65
208,0.00858,116.49,37,0.98,0.71
209,0.00876,114.21,33,0.97,0.69
210,0.01033,96.81,31,0.92,0.64
211,0.0095,105.29,31,0.93,0.63
212,0.00861,116.16,44,0.95,0.62
213,0.01283,77.94,31,0.98,0.7
214,0.01057,94.57,36,0.98,0.68
215,0.01007,99.33,34,0.91,0.66
216,0.01006,99.4,40,0.98,0.7
217,0.00912,109.69,30,0.98,0.71
218,0.00904,110.64,34,0.89,0.66
219,0.01108,90.26,40,0.95,0.68
220,0.00829,120.64,38,0.93,0.64
221,0.00843,118.61,35,0.9,0.68
222,0.01058,94.48,38,0.96,0.7
223,0.01301,76.85,37,0.94,0.69
224,0.00835,119.69,38,0.94,0.66
225,0.0107,93.44,34,0.97,0.69
226,0.00864,115.7,34,0.98,0.72
227,0.01485,67.35,30,0.94,0.65
228,0.0107,93.47,26,0.92,0.63
229,0.00971,103.02,35,0.93,0.72
230,0.0083,120.44,41,0.97,0.7
231,0.01053,94.95,34,0.94,0.71
232,0.00834,119.88,40,0.97,0.72
233,0.00908,110.11,36,0.97,0.73
234,0.00951,105.2,35,0.96,0.69
235,0.00922,108.44,34,0.94,0.68
236,0.00944,105.98,27,0.94,0.68
237,0.01102,90.78,31,0.95,0.73
238,0.00829,120.59,29,0.92,0.69
239,0.00913,109.58,35,0.97,0.68
240,0.01017,98.35,24,0.91,0.61
241,0.00917,109.06,33,0.96,0.71
242,0.00951,105.18,40,0.94,0.66
243,0.00848,117.97,32,0.92,0.69
244,0.0085,117.63,36,0.95,0.7
245,0.01102,90.72,32,0.95,0.67
246,0.01039,96.25,31,0.93,0.66
247,0.01229,81.37,37,0.96,0.68
248,0.00887,112.72,45,0.97,0.69
249,0.00901,111.02,36,0.96,0.66
250,0.00939,106.55,33,0.97,0.67
251,0.00995,100.52,30,0.94,0.66
252,0.00999,100.11,26,0.93,0.64
253,0.00977,102.32,28,0.93,0.63
254,0.01118,89.44,28,0.87,0.58
255,0.01032,96.9,36,0.98,0.6
256,0.00881,113.45,39,0.96,0.68
257,0.01179,84.83,36,0.97,0.66
258,0.00956,104.6,30,0.94,0.69
259,0.01049,95.34,32,0.95,0.66
260,0.00872,114.72,24,0.83,0.55
261,0.0099,101.04,28,0.88,0.56
262,0.00944,105.92,25,0.91,0.59
263,0.00999,100.12,27,0.91,0.62
264,0.00847,118.02,25,0.95,0.64
265,0.00875,114.27,20,0.91,0.6
266,0.00963,103.82,28,0.9,0.6
267,0.00899,111.28,28,0.93,0.62
268,0.01126,88.84,28,0.91,0.58
269,0.00985,101.57,26,0.91,0.62
270,0.00993,100.7,30,0.96,0.67
271,0.00894,111.88,24,0.96,0.69
272,0.00809,123.63,24,0.88,0.59
273,0.01098,91.1,26,0.89,0.61
274,0.00915,109.23,29,0.98,0.65
275,0.00964,103.74,18,0.81,0.56
276,0.01048,95.46,20,0.77,0.54
277,0.00891,112.18,26,0.94,0.63
278,0.00932,107.3,26,0.95,0.64
279,0.00955,104.74,23,0.92,0.63
280,0.00924,108.21,14,0.82,0.6
281,0.00886,112.88,20,0.87,0.6
282,0.00888,112.55,17,0.85,0.57
283,0.00912,109.65,13,0.78,0.55
284,0.00963,103.79,15,0.67,0.51
285,0.00909,109.98,17,0.85,0.57
286,0.01063,94.07,27,0.91,0.61
287,0.00897,111.47,21,0.88,0.54
288,0.00837,119.49,18,0.82,0.51
289,0.00927,107.87,17,0.88,0.64
290,0.00924,108.27,19,0.78,0.55
291,0.00901,110.97,14,0.64,0.49
292,0.01014,98.57,17,0.68,0.49
293,0.01077,92.82,21,0.84,0.62
294,0.00966,103.5,14,0.64,0.51
295,0.01133,88.25,16,0.75,0.5
296,0.00902,110.84,11,0.49,0.4
297,0.00994,100.64,6,0.38,0.33
298,0.01021,97.96,13,0.56,0.39
299,0.00936,106.85,25,0.78,0.53
300,0.00884,113.12,14,0.53,0.43
301,0.01014,98.6,9,0.53,0.37
302,0.01014,98.62,23,0.71,0.54
303,0.0096,104.15,29,0.74,0.52
304,0.00973,102.77,24,0.8,0.55
305,0.00924,108.17,20,0.64,0.49
306,0.00815,122.65,20,0.83,0.56
307,0.00891,112.22,21,0.66,0.53
308,0.00857,116.74,20,0.54,0.41
309,0.00853,117.2,13,0.52,0.42
310,0.01101,90.81,24,0.79,0.56
311,0.00971,102.96,18,0.77,0.52
312,0.00925,108.13,19,0.64,0.47
313,0.00867,115.29,16,0.67,0.49
314,0.00972,102.92,4,0.39,0.35
315,0.00866,115.45,0,0.0,0.0
316,0.0089,112.4,14,0.64,0.45
317,0.00954,104.81,11,0.58,0.45
318,0.00929,107.62,4,0.44,0.39
319,0.00882,113.32,13,0.77,0.48
320,0.00852,117.31,10,0.68,0.47
321,0.00938,106.66,19,0.86,0.64
322,0.00886,112.86,16,0.72,0.49
323,0.01024,97.65,15,0.74,0.51
324,0.00867,115.28,16,0.69,0.5
325,0.00963,103.84,5,0.46,0.4
326,0.0093,107.53,12,0.62,0.46
327,0.0102,98.01,16,0.78,0.49
328,0.00938,106.65,11,0.8,0.58
329,0.0092,108.68,13,0.8,0.58
330,0.01108,90.26,7,0.64,0.41
331,0.00988,101.17,7,0.53,0.41
332,0.00916,109.2,3,0.47,0.42
333,0.01016,98.45,6,0.52,0.44
334,0.0093,107.48,2,0.34,0.32
335,0.00923,108.38,0,0.0,0.0
336,0.00954,104.81,0,0.0,0.0
337,0.01015,98.53,6,0.46,0.39
338,0.00881,113.52,0,0.0,0.0
339,0.01249,80.03,6,0.47,0.36
340,0.01013,98.73,3,0.45,0.4
341,0.0096,104.16,2,0.44,0.44
342,0.00833,120.07,0,0.0,0.0
343,0.01182,84.63,0,0.0,0.0
344,0.00832,120.15,0,0.0,0.0
345,0.00915,109.25,0,0.0,0.0
346,0.00876,114.17,0,0.0,0.0
347,0.00929,107.7,0,0.0,0.0
348,0.00865,115.56,0,0.0,0.0
349,0.00995,100.48,0,0.0,0.0
350,0.00882,113.35,0,0.0,0.0
351,0.00955,104.66,2,0.41,0.38
352,0.00819,122.06,0,0.0,0.0
353,0.01126,88.8,2,0.4,0.36
354,0.00799,125.12,0,0.0,0.0
355,0.0096,104.2,0,0.0,0.0
356,0.00882,113.33,0,0.0,0.0
357,0.00997,100.32,0,0.0,0.0
358,0.01053,95.0,0,0.0,0.0
359,0.00913,109.54,0,0.0,0.0
360,0.01144,87.4,0,0.0,0.0
361,0.00917,109.08,0,0.0,0.0
362,0.0095,105.28,0,0.0,0.0
363,0.00919,108.82,0,0.0,0.0
364,0.00907,110.31,0,0.0,0.0
365,0.00885,112.96,0,0.0,0.0
366,0.01005,99.48,0,0.0,0.0
367,0.00929,107.61,0,0.0,0.0
368,0.01146,87.23,0,0.0,0.0
369,0.00881,113.5,0,0.0,0.0
370,0.00856,116.77,0,0.0,0.0
371,0.00961,104.03,0,0.0,0.0
372,0.01001,99.95,0,0.0,0.0
373,0.00969,103.22,0,0.0,0.0
374,0.00816,122.52,0,0.0,0.0
375,0.00892,112.06,0,0.0,0.0
376,0.00908,110.15,0,0.0,0.0
377,0.01077,92.87,0,0.0,0.0
378,0.01019,98.11,0,0.0,0.0
379,0.01159,86.3,0,0.0,0.0
380,0.00986,101.45,0,0.0,0.0
381,0.00916,109.14,0,0.0,0.0
382,0.00834,119.86,0,0.0,0.0
383,0.01112,89.95,0,0.0,0.0
384,0.00919,108.85,0,0.0,0.0
385,0.00917,109.01,0,0.0,0.0
386,0.00871,114.83,0,0.0,0.0
387,0.01087,91.98,0,0.0,0.0
388,0.0091,109.87,0,0.0,0.0
389,0.01023,97.73,0,0.0,0.0
390,0.00864,115.69,0,0.0,0.0
391,0.00964,103.78,0,0.0,0.0
392,0.00972,102.85,0,0.0,0.0
393,0.00871,114.83,0,0.0,0.0
394,0.01092,91.54,0,0.0,0.0
395,0.0084,119.09,0,0.0,0.0
396,0.00876,114.19,0,0.0,0.0
397,0.01064,94.01,0,0.0,0.0
398,0.01113,89.85,0,0.0,0.0
399,0.00981,101.97,0,0.0,0.0
400,0.01317,75.95,0,0.0,0.0
401,0.0094,106.42,0,0.0,0.0
402,0.00821,121.78,0,0.0,0.0
403,0.00989,101.06,0,0.0,0.0
404,0.00922,108.41,0,0.0,0.0
405,0.00944,105.98,0,0.0,0.0
406,0.01062,94.18,0,0.0,0.0
407,0.00945,105.79,0,0.0,0.0
408,0.01067,93.7,0,0.0,0.0
409,0.01053,94.97,0,0.0,0.0
410,0.00911,109.71,0,0.0,0.0
411,0.01138,87.89,0,0.0,0.0
412,0.00855,116.97,0,0.0,0.0
413,0.0109,91.74,0,0.0,0.0
414,0.00915,109.32,0,0.0,0.0
415,0.00932,107.26,0,0.0,0.0
416,0.00853,117.24,0,0.0,0.0
417,0.00946,105.73,0,0.0,0.0
418,0.00997,100.27,0,0.0,0.0
419,0.00993,100.69,0,0.0,0.0
420,0.0082,121.98,0,0.0,0.0
421,0.00941,106.31,0,0.0,0.0
422,0.0107,93.46,0,0.0,0.0
423,0.00914,109.38,0,0.0,0.0
424,0.00857,116.69,0,0.0,0.0
425,0.01013,98.72,0,0.0,0.0
426,0.00957,104.55,0,0.0,0.0
427,0.01088,91.89,0,0.0,0.0
428,0.0126,79.39,0,0.0,0.0
429,0.00955,104.68,0,0.0,0.0
430,0.00893,111.93,0,0.0,0.0
431,0.0095,105.31,0,0.0,0.0
432,0.01069,93.59,0,0.0,0.0
433,0.01029,97.2,0,0.0,0.0
434,0.00885,112.95,0,0.0,0.0
435,0.01001,99.91,0,0.0,0.0
436,0.0092,108.64,0,0.0,0.0
437,0.00974,102.65,0,0.0,0.0
438,0.01041,96.05,0,0.0,0.0
439,0.01245,80.34,0,0.0,0.0
440,0.0094,106.35,0,0.0,0.0
441,0.00817,122.41,0,0.0,0.0
442,0.0095,105.21,0,0.0,0.0
443,0.01237,80.81,0,0.0,0.0
444,0.00983,101.68,0,0.0,0.0
445,0.01261,79.33,0,0.0,0.0
446,0.00971,102.96,0,0.0,0.0
447,0.01335,74.9,0,0.0,0.0
448,0.01112,89.96,0,0.0,0.0
449,0.01298,77.02,0,0.0,0.0
450,0.01132,88.38,0,0.0,0.0
451,0.01164,85.9,0,0.0,0.0
452,0.01052,95.09,0,0.0,0.0
453,0.01254,79.77,0,0.0,0.0
454,0.01163,85.98,0,0.0,0.0
455,0.01106,90.44,0,0.0,0.0
456,0.00933,107.24,0,0.0,0.0
457,0.01135,88.14,0,0.0,0.0
458,0.00931,107.42,0,0.0,0.0
459,0.0122,81.97,0,0.0,0.0
460,0.01055,94.78,0,0.0,0.0
461,0.01112,89.91,0,0.0,0.0
462,0.01012,98.85,0,0.0,0.0
463,0.00981,101.99,0,0.0,0.0
464,0.00838,119.3,0,0.0,0.0
465,0.00881,113.54,0,0.0,0.0
466,0.00857,116.67,0,0.0,0.0
467,0.00987,101.27,0,0.0,0.0
468,0.00978,102.28,0,0.0,0.0
469,0.0099,101.05,0,0.0,0.0
470,0.00819,122.05,0,0.0,0.0
471,0.00989,101.07,0,0.0,0.0
472,0.00934,107.09,0,0.0,0.0
473,0.00916,109.14,0,0.0,0.0
474,0.0101,99.04,0,0.0,0.0
475,0.01053,94.92,0,0.0,0.0
476,0.00865,115.66,0,0.0,0.0
477,0.00882,113.41,0,0.0,0.0
478,0.00814,122.86,0,0.0,0.0
479,0.00983,101.71,0,0.0,0.0
480,0.00987,101.3,0,0.0,0.0
481,0.00888,112.65,0,0.0,0.0
482,0.00905,110.53,0,0.0,0.0
483,0.01008,99.22,0,0.0,0.0
484,0.00905,110.5,0,0.0,0.0
485,0.00966,103.53,0,0.0,0.0
486,0.01004,99.6,0,0.0,0.0
487,0.01031,96.99,0,0.0,0.0
488,0.00829,120.56,0,0.0,0.0
489,0.01068,93.59,0,0.0,0.0
490,0.00832,120.21,0,0.0,0.0
491,0.00995,100.47,0,0.0,0.0
492,0.00849,117.77,0,0.0,0.0
493,0.0089,112.41,0,0.0,0.0
494,0.01008,99.2,0,0.0,0.0
495,0.00912,109.62,0,0.0,0.0
496,0.00866,115.53,0,0.0,0.0
497,0.00977,102.31,0,0.0,0.0
498,0.00824,121.39,0,0.0,0.0
499,0.01083,92.32,0,0.0,0.0
500,0.00851,117.56,0,0.0,0.0
501,0.00995,100.49,0,0.0,0.0
502,0.01051,95.16,0,0.0,0.0
503,0.01378,72.56,0,0.0,0.0
504,0.00871,114.78,0,0.0,0.0
505,0.01101,90.86,0,0.0,0.0
506,0.00871,114.76,0,0.0,0.0
507,0.00884,113.18,0,0.0,0.0
508,0.00861,116.2,0,0.0,0.0
509,0.00905,110.55,0,0.0,0.0
510,0.00844,118.45,0,0.0,0.0
511,0.00936,106.85,0,0.0,0.0
512,0.00863,115.82,0,0.0,0.0
513,0.0092,108.71,0,0.0,0.0
514,0.0098,102.04,0,0.0,0.0
515,0.00962,103.98,0,0.0,0.0
516,0.01134,88.2,0,0.0,0.0
517,0.00904,110.59,0,0.0,0.0
518,0.00893,111.96,0,0.0,0.0
519,0.01135,88.09,0,0.0,0.0
520,0.0087,114.89,0,0.0,0.0
521,0.01092,91.55,0,0.0,0.0
522,0.01061,94.22,0,0.0,0.0
523,0.01037,96.39,0,0.0,0.0
524,0.00895,111.68,0,0.0,0.0
525,0.00961,104.03,0,0.0,0.0
526,0.00917,109.08,0,0.0,0.0
527,0.01018,98.27,0,0.0,0.0
528,0.00846,118.22,0,0.0,0.0
529,0.00941,106.24,0,0.0,0.0
530,0.00865,115.58,0,0.0,0.0
531,0.01372,72.86,0,0.0,0.0
532,0.00925,108.1,0,0.0,0.0
533,0.00906,110.37,0,0.0,0.0
534,0.00846,118.26,0,0.0,0.0
535,0.0102,98.01,0,0.0,0.0
536,0.00941,106.26,0,0.0,0.0
537,0.00855,117.0,0,0.0,0.0
538,0.00899,111.27,0,0.0,0.0
539,0.01082,92.46,0,0.0,0.0
