Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
151,0.13616,7.34,18,0.99,0.83
152,0.13709,7.29,19,0.98,0.76
153,0.13696,7.3,20,0.99,0.81
154,0.13901,7.19,20,1.0,0.82
155,0.13844,7.22,19,0.99,0.84
156,0.13716,7.29,16,0.96,0.8
157,0.13656,7.32,21,0.99,0.78
158,0.13723,7.29,18,0.99,0.81
159,0.13729,7.28,18,0.99,0.83
160,0.13727,7.29,21,0.98,0.82
161,0.14005,7.14,15,0.97,0.87
162,0.13695,7.3,14,0.99,0.86
163,0.1363,7.34,17,0.98,0.83
164,0.13741,7.28,13,0.99,0.93
165,0.1376,7.27,19,0.99,0.82
166,0.13795,7.25,21,0.99,0.8
167,0.13666,7.32,20,0.99,0.81
168,0.13757,7.27,19,0.97,0.74
169,0.1363,7.34,20,0.98,0.74
170,0.13891,7.2,16,0.95,0.76
171,0.13858,7.22,16,0.99,0.83
172,0.13817,7.24,20,0.99,0.79
173,0.13706,7.3,21,0.99,0.79
174,0.13729,7.28,20,0.98,0.77
175,0.13659,7.32,18,0.99,0.82
176,0.13709,7.29,17,0.98,0.82
177,0.13767,7.26,20,0.98,0.79
178,0.13831,7.23,18,0.98,0.83
179,0.13889,7.2,19,0.99,0.79
180,0.1418,7.05,15,0.99,0.85
181,0.13924,7.18,13,0.99,0.83
182,0.13607,7.35,12,0.99,0.91
183,0.13631,7.34,11,0.99,0.9
184,0.14098,7.09,12,1.0,0.86
185,0.13677,7.31,11,0.99,0.89
186,0.13888,7.2,15,0.98,0.89
187,0.13733,7.28,16,0.99,0.88
188,0.14003,7.14,14,0.99,0.9
189,0.1408,7.1,14,0.99,0.87
190,0.1388,7.2,13,1.0,0.9
191,0.14182,7.05,15,0.99,0.77
192,0.13779,7.26,13,0.99,0.82
193,0.13637,7.33,16,0.99,0.83
194,0.13853,7.22,15,0.99,0.82
195,0.13987,7.15,16,0.99,0.85
196,0.13765,7.26,15,0.99,0.89
197,0.13843,7.22,17,0.99,0.8
198,0.13947,7.17,13,0.99,0.91
199,0.13651,7.33,15,0.98,0.79
200,0.13681,7.31,14,0.99,0.85
201,0.13743,7.28,13,0.99,0.88
202,0.13657,7.32,15,0.99,0.9
203,0.13858,7.22,14,0.99,0.86
204,0.13877,7.21,16,0.99,0.9
205,0.13976,7.16,13,0.99,0.9
206,0.14438,6.93,14,0.99,0.88
207,0.14052,7.12,17,0.98,0.72
208,0.13906,7.19,15,0.99,0.82
209,0.14221,7.03,12,0.99,0.91
210,0.13757,7.27,14,0.99,0.86
211,0.137,7.3,12,0.99,0.92
212,0.13692,7.3,15,0.99,0.84
213,0.14686,6.81,14,0.98,0.81
214,0.13903,7.19,14,0.99,0.87
215,0.14375,6.96,13,0.99,0.86
